AUNumber,InstName,Category,IUNumber,IU,CountyName,StatusDescription,EffectiveDate,PhoneNumber,PhoneNumberExtn,WebAddress,MailingAddressLine1,MailingAddressLine2,MailingCity,MailingState,MailingZipCode,MailingZipCodeExtn,LocationAddressLine1,LocationAddressLine2,LocationCity,LocationState,LocationZipCode,LocationZipCodeExtn,Title,Salutation,FirstName,MiddleInitial,LastName,Suffix,AdminPhoneNumber,AdminPhoneNumberExtn,CommissionStartDate,CommissionExpirationDate,
124150002,21st Century Cyber CS,Charter School                          ,24,Chester County IU 24,Chester,Open,06/21/2001,(484)875-5400,,http://www.21stcenturycyber.org,1245 Wrights Lane,,West Chester,PA,19380,    ,1245 Wrights Lane,,West Chester,PA,19380,    ,Chief Executive Officer,Ms,Kim,,McCully,,(484)875-5458,,,,
343040533,2DK Elite Fitness Inc.,Miscellaneous,,,Beaver,Open,12/14/2018,(724)375-4234,,,626 Franklin Avenue,,Aliquippa,PA,15001,,626 Franklin Avenue,,Aliquippa,PA,15001,,Director,Ms,Stacey,,Henry,,(412)974-5609,,,,
300007948,3D INSTITUTE LLC,Act 48 Independent Provider,,,Out-of-State,Open,06/10/2019,(719)287-3900,,https://3dinstitute.com/,7325 FORESTWOOD COURT,,ORLANDO,FL,32838,,7325 FORESTWOOD COURT,,ORLANDO,FL,32838,,,,,,,,,,,,
300450000,4 Seasons Driving School Inc,Private Driver Training School,20,Colonial IU 20,Monroe,Open,03/25/1997,(570)420-9394,,,5106 Windsor Drive,,Stroudsburg,PA,18360,,5106 Windsor Drive,,Stroudsburg,PA,18360,,Director,,, ,Vacant,,(717)620-2184,,,,
300450000,4 Seasons Driving School Inc,Private Driver Training School,20,Colonial IU 20,Monroe,Open,03/25/1997,(570)420-9394,,,5106 Windsor Drive,,Stroudsburg,PA,18360,,5106 Windsor Drive,,Stroudsburg,PA,18360,,Director,,David,B,Loncki,,(570)460-5916,,,,
376634645,4-H Clubs & Affiliated 4-H Org DBA SW Regional 4-H Fund,Miscellaneous,,,Washington,Open,04/17/2013,(724)548-3447,,,100 West Beau Street,Suite 601,Washington,PA,15301,4473,100 West Beau Street,Suite 601,Washington,PA,15301,4473,Director,Ms,Toni,,Grafton,,(724)548-3447,,,,
304430000,43Crossroads II,Miscellaneous,4,Midwestern IU 4,Mercer,Open,09/01/2004,,,,1301 Roemer Blvd.,,Farrell,PA,16121,1747,1301 Roemer Blvd.,,Farrell,PA,16121,1747,,,,,,,,,,,
226510039,63rd Street Multicultural Academy of Academic Excellence,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,08/25/2008,(215)240-6721,,,PO Box 28756,"c/o Nikkita Shoatz-Ahma, Principal",Philadelphia,PA,19151,,5828 Market Street,"2nd Flr, Ste 2",Philadelphia,PA,19131,,Principal,Dr,Nikkita,,Shoatz-Ahmad,,,,,,
226510075,63rd Street Multicultural Academy of Academic Excellence,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,03/01/2012,(267)977-2542,,,PO Box 28756,,Philadelphia,PA,19151,,1139 N. 63rd Street,,Philadelphia,PA,19151,,Principal,,Nikkita,,Nikkita Shoatz-Ahmad,,,,,,
300510383,"901 INNOVATION, LLC",Act 48 Independent Provider,,,Philadelphia,Open,02/14/2019,(297)973-2075,,,802-10 LOCUST STREET,#205,PHILADELPHIA,PA,19107,,802-10 LOCUST STREET,#205,PHILADELPHIA,PA,19107,,,,,,,,,,,,
350513328,99 Adult Day Care II Inc,Miscellaneous,,,Philadelphia,Open,01/14/2020,(215)232-1133,,,1533-39 N. 7th Street,,Philadelphia,PA,19122,3604,1533-39 N. 7th Street,,Philadelphia,PA,19122,3604,Director,Ms,Vanessa,,Pierre,,(215)232-1133,,,,
300230020,A & B Driving School,Private Driver Training School,25,Delaware County IU 25,Delaware,Open,07/06/1990,(610)358-5577,,,132 E Eagle Road,,Havertown,PA,19083,,132 E Eagle Road,,Havertown,PA,19083,,Director,,James,E,Carlisle,,(610)449-1602,,,,
300390100,A B E Driving School,Private Driver Training School,20,Colonial IU 20,Northampton,Open,07/06/1990,(610)865-4100,,,1807 Chardonnay St,,Easton,PA,18045,,1807 Chardonnay St,,Easton,PA,18045,,Director,,Robert, ,McFeeley,,(215)865-4100,,,,
379027505,A B Grogan Enterprises Inc DBA Sunny Days Learning Center,Miscellaneous,,,Allegheny,Open,08/05/2015,(412)220-0284,,,426 Shady Avenue,,Bridgeville,PA,15017,1962,426 Shady Avenue,,Bridgeville,PA,15017,1962,Director,Ms,Arlene,B,Grogan,,(412)220-0284,,,,
319352389,A Bright Future,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,08/15/2014,(570)344-3330,,,3821 Birney Ave,,Moosic,PA,18507,,3821 Birney Ave,,Moosic,PA,18507,,Director,Ms,Kathleen,,Bender,,(570)335-8662,,,,
336519991,A Brighter 2Morrow LLC,Miscellaneous,,,Philadelphia,Open,05/31/2013,(215)843-0602,,,5501 Spruce Street,,Philadelphia,PA,19139,3932,5501 Spruce Street,,Philadelphia,PA,19139,3932,Director,Ms,Shereena,S,Morrow,,(215)843-0602,,,,
312066563,A Bundle of Joy Care Center LLC,Miscellaneous,,,Berks,Open,03/15/2011,(610)741-7738,,,1218 Luzerne St,,Reading,PA,19601,,1218 Luzerne St,,Reading,PA,19601,,Director,Ms,Rocio,,Damato,,(610)741-7738,,,,
300400140,A C T,"Other Private, Non-Licensed Entity",18,Luzerne IU 18,Luzerne,Open,07/17/1995,,,,361 Northampton St,,Kingston,PA,18704,5401,361 Northampton St,,Kingston,PA,18704,5401,,,,,,,,,,,
330461937,A Chance to Heal,Act 48 Independent Provider,,,Montgomery,Open,09/13/2007,(267)546-9009,,,P. O. Box 2342,,Jenkintown,PA,19046,,P. O. Box 2342,,Jenkintown,PA,19046,,,,,,,,,,,,
346513839,A Childs Dream Leadership Inc.,Miscellaneous,,,Philadelphia,Open,10/23/2013,(215)220-1109,,,2501 S 58th Street,,Philadelphia,PA,19143,6115,2501 S 58th Street,,Philadelphia,PA,19143,6115,Director,Ms,Scynthia,,Michel,,(267)221-0338,,,,
349098189,A CHILDS WORLD,Miscellaneous,,,Bucks,Open,09/07/2007,(215)949-8900,,,183 BRISTOL-OXFORD VALLEY ROAD,,LANGHORNE,PA,19047,,183 BRISTOL-OXFORD VALLEY ROAD,,LANGHORNE,PA,19047,,Director,Mr,TINA,,WALTERS,,(215)949-8900,,,,
356256862,A Childs World Day Care & Learning Center Inc,Miscellaneous,5,Northwest Tri-County IU 5,Erie,Open,01/23/2007,(814)774-1113,,,10081 Ridge Road,Suite C,Girard,PA,16417,9403,10081 Ridge Road,Suite C,Girard,PA,16417,9403,Director,Ms,Carrie,,LeSuer,,(814)774-1113,,,,
300020094,A CHILDS WORLD DAYCARE CENTER INC,Miscellaneous,,,Allegheny,Open,02/13/2006,(412)636-9000,,,2061 MONEGAHELA AVE,,SWISSVALE,PA,15218,,2061 MONEGAHELA AVE,,SWISSVALE,PA,15218,,,,,,,,,,,,
300020005,A Developmental Journey Inc,Miscellaneous,3,Allegheny IU 3,Allegheny,Open,01/26/2000,(412)673-5541,,,312 Ringold St,,McKeesport,PA,15132,,312 Ringold St,,McKeesport,PA,15132,,Director,,Anica,M,Sayles,,,,,,
300201270,A Fullers Country Seasons CC,Miscellaneous,5,Northwest Tri-County IU 5,Crawford,Open,10/19/2000,(814)683-5978,,,15185 Linesville Rd,,Linesville,PA,16424,,15185 Linesville Rd,,Linesville,PA,16424,,Director,Ms,Amy,L,Fuller,,,,,,
300260090,A G Montessori School,"Licensed, Private Academic School",1,Intermediate Unit 1,Fayette,Open,10/01/1994,(724)439-6116,,,199 Edison Street,,Uniontown,PA,15401,0000,199 Edison St,,Uniontown,PA,15401,,Director,Ms,Marjorie,R,Murphy,,(724)887-0856,,,,
302252391,A Gadley Enterprises Inc DBA Young Environment Learning Ctr,Miscellaneous,,,Erie,Open,03/13/2013,(814)455-1741,,,1120 W 26th St,,Erie,PA,16508,1518,1120 W 26th St,,Erie,PA,16508,1518,Chief Executive Officer,Ms,Ann Marie,,Gadley,,(814)455-1741,,,,
350029563,A Giving Heart,Miscellaneous,,,Allegheny,Open,06/16/2017,(412)904-4888,,,816 Climax Street,,Pittsburgh,PA,15210,,816 Climax Street,,Pittsburgh,PA,15210,,Director,Ms,Kristee,,Cammack,,(412)894-6869,,,,
359511676,A Giving Heart Ministries,Miscellaneous,,,Philadelphia,Open,06/08/2019,(215)817-0668,,,2735 S. 71 Street,,Philadelphia,PA,19153,,2735 S. 71 Street,,Philadelphia,PA,19153,,Director,Ms,Lavette,,Beasley,,(215)432-4674,,,,
342024654,A HOME AWAY FROM HOME CHRISTIAN DAYCARE INC,Miscellaneous,,,Allegheny,Open,10/20/2010,(412)362-8660,,,5732 BAUM BLVD.,,PITTSBURGH,PA,15206,3763,5732 BAUM BLVD.,,PITTSBURGH,PA,15206,3763,Director,Ms,LUCRETIA,,MCGEE,,(412)377-7444,,,,
381513873,A Mothers Heart Phase 2,Miscellaneous,,,Philadelphia,Open,01/11/2020,(215)252-4115,,,4205 Germantown Avenue,,Philadelphia,PA,19140,2923,2906 Aramingo Avenue,,Philadelphia,PA,19134,,Director,Ms,Isheemah,,Burton,,(215)252-4115,,,,
300011500,A New Dawn Camp,"Other Private, Non-Licensed Entity",12,Lincoln IU 12,Adams,Open,07/06/1990,(734)276-8552,,,PO Box 3553,,Harrisburg,PA,17105,3553,PO Box 3553,,Harrisburg,PA,17105,3553,,,,,,,,,,,
378518481,A Parents Touch Childcare Enrichment Center,Miscellaneous,,,Philadelphia,Open,07/10/2018,(267)335-4381,,,4168-70 Germantown Avenue,,Philadelphia,PA,19140,,4168-70 Germantown Avenue,,Philadelphia,PA,19140,,Director,Ms,Janeen,,Fleming,,(267)401-8253,,,,
300110005,A Pauline Page Playhouse Schools,Miscellaneous,,,Cambria,Open,05/15/2002,(814)539-2799,,,315 Locust Street,,Johnstown,PA,15901,,315 Locust Street,,Johnstown,PA,15901,,,,,,,,,,,,
308090707,A Perfect Place,Miscellaneous,22,Bucks County IU 22,Bucks,Open,06/29/2007,(215)946-8013,,,3710 Green Lane,,Levittown,PA,19057,2609,3710 Green Lane,,Levittown,PA,19057,2609,Director,Ms,Danielle,,Newsham,,,,,,
300170300,A Place To Grow Inc,Miscellaneous,10,Central IU 10,Clearfield,Open,05/01/1998,(814)371-6881,,,RD 1  Box 1098,Route 219 South,Duboise,PA,15801,,RD 1  Box 1098,Route 219 South,Duboise,PA,15801,,Director,,Tamara,M,Coray,,,,,,
367225465,A Plus Kids Early Learning Center,Miscellaneous,,,Dauphin,Open,05/22/2013,(717)234-1830,,,2336 North 3rd Street,,Harrisburg,PA,17110,,2336 North 3rd Street,,Harrisburg,PA,17110,,Director,Ms,Arleen,,Bonheur,,(717)234-1830,,,,
373028121,"A Plus School of Driving, LLC",Private Driver Training School,3,Allegheny IU 3,Allegheny,Open,03/07/2012,(412)726-4772,,,801 Vine Street,,Coraopolis,PA,15108,,801 Vine Street,,Coraopolis,PA,15108,,Director,,Allen,H,Todeschini,,(412)264-3803,,,,
412015305,A R Wentz Library,Library,,,Adams,Open,12/29/2005,(717)334-6286,,,61 Seminary Ridge Ave ,,Gettysburg ,PA,17325,,61 Seminary Ridge Ave ,,Gettysburg ,PA,17325,,,,,,,,,,,,
324150015,A Safeway Driving School LLC,Private Driver Training School,24,Chester County IU 24,Chester,Open,07/29/2003,(717)285-0974,,,3178 Grande Oak Place,,Lancaster,PA,17601,,3178 Grande Oak Place,,Lancaster,PA,17601,,Director,,John,L,Mumma,Jr,(717)333-1305,,,,
329540002,A Step Ahead,"Licensed, Private Academic School",29,Schuylkill IU 29,Schuylkill,Open,08/27/2004,(570)739-2223,,,768 South Route 183,,Schuylkill Haven,PA,17972,,768 S Route 183,,Schuylkill Haven,PA,17972,,Director,Ms,Jane,,Petrilla,,(570)754-3167,,,,
390510959,A To Z Care LLc,Miscellaneous,,,Philadelphia,Open,12/12/2017,(215)877-8600,,,5050 Parkside Avenue,Unit 101,Philadelphia,PA,19131,4714,5050 Parkside Avenue,Unit 101,Philadelphia,PA,19131,4714,Director,Mr,Liubov,,Shchyhlyk,,(215)877-8600,,,,
390152073,A Total Approach,Act 48 Independent Provider,,,Chester,Open,05/28/2009,(484)840-1529,,,9 LaCrue Ave.,Suite 103,Glen Mills,PA,19342,,9 LaCrue Ave.,Suite 103,Glen Mills,PA,19342,,,,,,,,,,,,
356511602,A UNIQUE LEARNING EXPERIENCE,Miscellaneous,,,Philadelphia,Open,04/22/2011,(215)989-0554,,,1916 WEST WILLARD STREET,,PHILADELPHAI,PA,19140,,1916 WEST WILLARD STREET,,PHILADELPHAI,PA,19140,,Director,Ms,MODESTINE,,GILLETTE,,,,,,
103020407,A W Beattie Career Center,Career and Technical Center,3,Allegheny IU 3,Allegheny,Open,07/06/1990,(412)847-1900,,http://www.beattietech.com,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,9600 Babcock Boulevard,,Allison Park,PA,15101,2005,Director Vocational Education,Mr,Eric,C,Heasley,,(412)847-1900,,,,
304410412,A Way to Grow Learning adn Development Center,Miscellaneous,,,Lycoming,Open,09/11/2015,(570)398-4025,,,115 Howard Street,,Jershey Shore,PA,17740,1713,115 Howard Street,,Jershey Shore,PA,17740,1713,Director,Ms,Kim,,Scott,,(570)279-3255,,,,
393090478,A Woman's Place,Act 48 Independent Provider,,,Bucks,Open,08/12/2010,(215)343-9241,114,,PO Box 299,,Doylestown,PA,18901,,PO Box 299,,Doylestown,PA,18901,,,,,,,,,,,,
396519776,A&A Enterprises DBA Education Nation Learning Academy,Miscellaneous,,,Philadelphia,Open,07/24/2014,(215)789-1888,,,1203 N 3rd Street,,Philadelphia,PA,19122,4405,1203 N 3rd Street,,Philadelphia,PA,19122,4405,Director,Ms,Amen,,Brown,,(267)388-5063,,,,
362023027,A+ CHILDCARE,Miscellaneous,,,Allegheny,Open,02/20/2009,(412)481-3180,,,208 MOUNTAIN STREET,,PITTSBURGH,PA,15210,2646,705 EAST WARRINGTON,,PITTSBURGH,PA,15210,1561,Director,Mr,JAMES,,THOMAS,,,,,,
300450050,A-1 Ayers Driving School,Private Driver Training School,20,Colonial IU 20,Monroe,Open,07/06/1990,(570)629-5219,,,195 Deibert Drive,,Stroudsburg,PA,18360,,195 Deibert Drive,,Stroudsburg,PA,18360,,Director,,Donald,G,Ayers,,(717)629-5219,,,,
300650250,A-1 Driver Training School,Private Driver Training School,7,Westmoreland IU 7,Westmoreland,Open,07/06/1990,(412)373-8468,,,13179 Ridge Road,,North Huntingdon,PA,15642,,13179 Ridge Road,,North Huntingdon,PA,15642,,Director,,, ,Vacant,,((41)2)8-63-1,,,,
300650250,A-1 Driver Training School,Private Driver Training School,7,Westmoreland IU 7,Westmoreland,Open,07/06/1990,(412)373-8468,,,13179 Ridge Road,,North Huntingdon,PA,15642,,13179 Ridge Road,,North Huntingdon,PA,15642,,Director,,Todd, ,Carolan,,(412)754-2051,,,,
359518794,A-1 the Pros,Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,03/12/2014,(267)251-2686,,,1839 S. 6th Street,,Philadelphia,PA,19148,,1839 S. 6th Street,,Philadelphia,PA,19148,,Director,,, ,Vacant,,((21)5)7-55-7,,,,
359518794,A-1 the Pros,Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,03/12/2014,(267)251-2686,,,1839 S. 6th Street,,Philadelphia,PA,19148,,1839 S. 6th Street,,Philadelphia,PA,19148,,Director,,, ,Vacant,Jr,(215)778-1502,,,,
359518794,A-1 the Pros,Private Driver Training School,26,Philadelphia IU 26,Philadelphia,Open,03/12/2014,(267)251-2686,,,1839 S. 6th Street,,Philadelphia,PA,19148,,1839 S. 6th Street,,Philadelphia,PA,19148,,Director,,Raymond, ,Duncan,Jr,(215)778-1502,,,,
323308479,A. Rafail Driving School,Private Driver Training School,1,Intermediate Unit 1,Greene,Open,11/26/2013,(724)852-3112,,,159 Independent Ridge Road,,Waynesburg,PA,15370,,159 Independent Ridge Road,,Waynesburg,PA,15370,,Director,,Alan,E,Rafail,,(724)833-0057,,,,
300220022,"Aa TO Zz CHILD CARE AND LEARNING CENTER, INC.",Miscellaneous,,,Dauphin,Open,10/28/2005,(717)635-9485,,,88 S HERSHEY ROAD,,HARRISBURG,PA,17112,,88 S HERSHEY ROAD,,HARRISBURG,PA,17112,,,,,,,,,,,,
300360010,AAA Lancaster County D S,Private Driver Training School,13,Lancaster-Lebanon IU 13,Lancaster,Open,10/13/1998,(717)898-6900,,,804 Estelle Dr,,Lancaster,PA,17601,2121,804 Estelle Dr,,Lancaster,PA,17601,2121,Director,,, ,Vacant,,((71)7)8-98-6,,,,
300360010,AAA Lancaster County D S,Private Driver Training School,13,Lancaster-Lebanon IU 13,Lancaster,Open,10/13/1998,(717)898-6900,,,804 Estelle Dr,,Lancaster,PA,17601,2121,804 Estelle Dr,,Lancaster,PA,17601,2121,Director,,, ,Vacant,,(717)626-7226,,,,
426510819,"AAA School of Trucking, Inc",Private Licensed School,,,Philadelphia,Open,08/18/2009,(267)324-5957,,http://www.aaaschooloftrucking.com,442 East Girard Avenue,,Philadelphia,PA,19125,,442 East Girard Avenue,,Philadelphia,PA,19125,,Chief Executive Officer,Mr,Ryan,A,Soloby,,(267)324-5957,,,,
426510819,"AAA School of Trucking, Inc",Private Licensed School,,,Philadelphia,Open,08/18/2009,(267)324-5957,,http://www.aaaschooloftrucking.com,442 East Girard Avenue,,Philadelphia,PA,19125,,442 East Girard Avenue,,Philadelphia,PA,19125,,Chief Executive Officer,Ms,Emily,C,Kiser (Soloby),,(267)324-5957,,,,
415228149,"AAA School of Trucking, Inc.",Private Licensed School,,,Dauphin,Open,08/15/1997,(717)652-3652,,http://www.aaaschooloftrucking.com/,6003 Jonestown Road,,Harrisburg,PA,17112,,6003 Jonestown Road,,Harrisburg,PA,17112,,Chief Executive Officer,Ms,Beth,,Greiff,,(717)652-3652,,,,
415228149,"AAA School of Trucking, Inc.",Private Licensed School,,,Dauphin,Open,08/15/1997,(717)652-3652,,http://www.aaaschooloftrucking.com/,6003 Jonestown Road,,Harrisburg,PA,17112,,6003 Jonestown Road,,Harrisburg,PA,17112,,Chief Executive Officer,Ms,Susan   ,,First,,(717)652-2085,,,,
318400010,AAAA Driving Academy,Private Driver Training School,18,Luzerne IU 18,Luzerne,Open,09/22/2005,(570)371-3798,,,1151 Highway 315 Suite 2,Dolphin Plaza,Wilkes Barre,PA,18702,,1151 Highway 315 Suite 2,Dolphin Plaza,Wilkes Barre,PA,18702,,Director,,Dennis, ,Ferenchick,,(570)954-0319,,,,
318400010,AAAA Driving Academy,Private Driver Training School,18,Luzerne IU 18,Luzerne,Open,09/22/2005,(570)371-3798,,,1151 Highway 315 Suite 2,Dolphin Plaza,Wilkes Barre,PA,18702,,1151 Highway 315 Suite 2,Dolphin Plaza,Wilkes Barre,PA,18702,,Director,Mr,, ,Vacant,,((57)0)2-83-5,,,,
318400010,AAAA Driving Academy,Private Driver Training School,18,Luzerne IU 18,Luzerne,Open,09/22/2005,(570)371-3798,,,1151 Highway 315 Suite 2,Dolphin Plaza,Wilkes Barre,PA,18702,,1151 Highway 315 Suite 2,Dolphin Plaza,Wilkes Barre,PA,18702,,Director,Mr,Brian,,Fischer,,,,,,
300230017,AARDVARK CHILD CARE & LEARNING CENTER,Miscellaneous,,,Delaware,Open,01/13/2006,(610)358-8998,,,P O BOX 469,335 CHEYNEY ROAD,GLEN MILLS,PA,19342,,P O BOX 469,335 CHEYNEY ROAD,GLEN MILLS,PA,19342,,Executive Director,Ms,Joanne,,Drinkard,Ed.D,(610)358-8998,,,,
325230047,Aardvark Child Care and Learning Center Inc,"Licensed, Private Academic School",25,Delaware County IU 25,Delaware,Open,06/19/2006,(610)358-8998,,,PO Box 469,,Glen Mills,PA,19342,,335 Cheyney Road,,Glen Mills,PA,19342,,Director,Ms,Amanda,G,Trani,,(484)571-8923,,,,
325230046,Aardvark Day Care Inc.,"Licensed, Private Academic School",25,Delaware County IU 25,Delaware,Open,06/19/2006,(610)622-2324,,,PO Box 469,,Glen Mills,PA,19342,,739 Secane Avenue,,Primos,PA,19018,,Director,Ms,Joanne,L,Drinkard,,(610)325-9592,,,,
322090084,Abacus Montessori Academy,"Licensed, Private Academic School",22,Bucks County IU 22,Bucks,Open,06/21/2013,(215)996-0591,,,180 E Butler Ave,,Chalfont,PA,18914,,180 E Butler Ave,,Chalfont,PA,18914,,Director,Ms,Jillian,,Bickel,,(215)996-0591,,,,
375051722,ABBY REININGER DBA ABBY'S DAYCARE,Miscellaneous,,,Bedford,Open,04/08/2009,(814)766-4515,,,PO BOX 208,,WOODBURY,PA,16695,0208,202 GRANDVIEW STREET,,WOODBURY,PA,16695,0000,Director,Ms,ABBY,,REININGER,,,,,,
300350150,ABC Academy,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,10/01/1992,(570)282-2219,,,PO Box 64,,Carbondale,PA,18407,0064,69 N Main St,,Carbondale,PA,18407,0000,Director,Ms,Doreen,,Damskov,,(570)222-4241,,,,
396402500,"ABC Castle, Inc.",Miscellaneous,,,Luzerne,Open,03/18/2011,(570)459-1000,,,PO Box 625,,Nuremberg,PA,18241,,PO Box 625,,Nuremberg,PA,18241,,Director,Ms,Desiree,,Singley,,(570)459-1000,,,,
300510200,ABC Child Development Ctr Inc,"Other Private, Non-Licensed Entity",26,Philadelphia IU 26,Philadelphia,Open,07/06/1990,,,,5114 Wayne Ave,,Philadelphia,PA,19144,3526,5114 Wayne Ave,,Philadelphia,PA,19144,3526,,,,,,,,,,,
300050200,ABC Community Learning Center,Miscellaneous,8,Appalachia IU 8,Bedford,Open,12/19/2000,(814)839-9161,,,109 Emerson Way,PO Box 172,Alum Bank,PA,15521,,109 Emerson Way,PO Box 172,Alum Bank,PA,15521,,Director,Ms,Kristine,E,Putt,,,,,,
300020090,ABC Creative Play Ctr,"Other Private, Non-Licensed Entity",3,Allegheny IU 3,Allegheny,Open,07/06/1990,,,,1 Grove Pl,,Pittsburgh,PA,15236,2353,1 Grove Pl,,Pittsburgh,PA,15236,2353,,,,,,,,,,,
311487644,ABC Early Learning LLC,Miscellaneous,,,Northampton,Open,01/31/2014,(484)623-4711,,,417 Lincoln Avenue,,Walnutport,PA,18088,1418,417 Lincoln Avenue,,Walnutport,PA,18088,1418,Director,Ms,Annette,,Haas,,(484)623-4711,,,,
355218510,ABC Educational Services,Act 48 Independent Provider,,,Cumberland,Open,09/21/2007,(717)241-4400,,,224 South Hanover Street,,Carlisle,PA,17013,,224 South Hanover Street,,Carlisle,PA,17013,,,,,,,,,,,,
330427991,ABC Grow with Me Childcare LLC,Miscellaneous,,,McKean,Open,04/28/2018,(814)596-0072,,,70 1/2 Mechanic Street,,Bradford,PA,16701,,70 1/2 Mechanic Street,,Bradford,PA,16701,,Director,Ms,Jessica,,Brown,,(814)598-0124,,,,
318400022,ABC Kiddie Kampus,"Licensed, Private Academic School",18,Luzerne IU 18,Luzerne,Open,06/19/2009,(570)655-1012,,,3 Mill Street,,Pittston,PA,18640,,3 Mill Street,,Pittston,PA,18640,,Director,Ms,Brittney,,Noss,,(570)817-1635,,,,
300350200,ABC Kiddie Kampus Inc,"Licensed, Private Academic School",19,Northeastern Educational IU 19,Lackawanna,Open,10/01/1990,(570)457-1799,,,701 S Main St,,Old Forge,PA,18518,1602,701 S Main St,,Old Forge,PA,18518,,Director,,Gina,,Phaneuf,,(570)282-3357,,,,
351511940,ABC Learning Academy LLC,Miscellaneous,,,Philadelphia,Open,01/04/2018,(267)319-1159,,,1318 N 26th Street,,Philadelphia,PA,19121,,2631 W. Girard Avenue,,Philadelphia,PA,19130,,Director,Ms,Jenine,,Branson,,(267)707-4247,,,,
300560050,ABC Review,Miscellaneous,8,Appalachia IU 8,Somerset,Open,08/31/1994,(814)443-1131,,,614 Rear S Franklin Avenue,,Somerset,PA,15501,,614 Rear S Franklin Avenue,,Somerset,PA,15501,,,,,,,,,,,,
300020130,ABC's for Children,"Licensed, Private Academic School",3,Allegheny IU 3,Allegheny,Open,10/01/1992,(412)344-4422,,,1630 Greentree Rd,,Pittsburgh,PA,15220,,1630 Greentree Rd,,Pittsburgh,PA,15220,,Director,Ms,Kristen,,Warzinski,,(412)537-1413,,,,
